Date,Open,High,Low,Close,Coin
2023-08-03,29161.81194570409,29375.70702796135,28959.48820890262,29178.678779687,btc
2023-08-02,29704.146838200217,29987.997112196714,28946.510378230032,29151.95968913307,btc
2023-08-01,29230.872404990292,29675.732498060763,28657.02381974255,29675.732498060763,btc
2023-07-31,29278.31405437211,29489.872868720275,29131.57903377326,29230.110878649015,btc
2023-07-30,29357.093643392607,29443.169489786003,29059.502628570783,29275.307946896966,btc
2023-07-29,29319.446037681606,29396.84375418112,29264.166273900406,29356.91853756984,btc
2023-07-28,29212.164302427616,29521.5143305549,29125.845592149624,29319.24540303486,btc
2023-07-27,29353.798829215375,29560.96626199313,29099.35225113293,29210.689277337366,btc
2023-07-26,29225.76011533686,29675.552617399644,29113.91132357975,29354.972883148803,btc
2023-07-25,29178.970044592083,29353.161104588005,29062.43429310641,29227.390799951987,btc
2023-07-24,30081.66164457886,30093.3942473004,28934.294160245703,29176.915484832643,btc
2023-07-23,29790.111646404206,30330.64039201111,29741.527314547297,30084.539240756265,btc
2023-07-22,29908.69698861633,29991.61595644289,29664.12094534707,29771.80282777146,btc
2023-07-21,29805.111530493545,30045.99751264125,29733.850999420774,29908.743898772045,btc
2023-07-20,29915.250325865425,30195.531036727476,29638.096674876015,29792.016378050812,btc
2023-07-19,29862.047207949952,30184.181151316767,29794.26886313251,29913.92319985428,btc
2023-07-18,30147.070861420925,30233.65534901887,29556.428372971015,29856.563223120636,btc
2023-07-17,30249.62661714303,30336.400133499996,29685.782686655515,30145.889625508702,btc
2023-07-16,30297.472110816725,30437.560732332422,30089.67038375998,30249.132810296705,btc
2023-07-15,30331.78227697352,30407.781109318264,30263.46341666242,30295.807483728026,btc
2023-07-14,31474.721363624696,31582.254827237728,29966.38713650077,30334.069007690672,btc
2023-07-13,30387.489196646333,31814.51481206781,30268.35248661994,31476.049385444207,btc
2023-07-12,30622.24694556371,30959.9655594585,30228.83522031634,30391.646143934307,btc
2023-07-11,30417.63362402037,30788.314619575805,30358.097742207156,30620.950938004094,btc
2023-07-10,30172.422955372138,31026.083799965392,29985.394700634453,30414.471520592702,btc
2023-07-09,30291.610530287548,30427.590660312413,30085.592193241242,30171.23357175826,btc
2023-07-08,30346.92165283586,30374.436525061985,30080.159610240178,30292.541172641984,btc
2023-07-07,29907.998902423325,30434.643694359656,29777.284410084438,30342.264752095933,btc
2023-07-06,30507.15111094327,31460.053612687978,29892.226031563314,29909.337761100734,btc
2023-07-05,30778.725362745445,30877.32925104366,30225.61269853897,30514.166392819956,btc
2023-07-04,31156.864921655437,31325.198166376776,30659.355893337084,30777.581511167722,btc
2023-07-03,30624.516311271615,31375.61325200148,30586.51343339069,31156.43949157535,btc
2023-07-02,30587.269955877855,30766.139746690114,30264.018714366975,30620.77026344812,btc
2023-07-01,30471.847563048803,30641.2893232817,30328.86474880932,30590.0790715004,btc
2023-06-30,30441.35375917607,31256.862699554396,29600.275939419127,30477.251282244626,btc
2023-06-29,30086.186717423134,30796.250239651657,30057.203020300094,30445.3512260882,btc
2023-06-28,30696.56148684194,30703.27997632466,29921.82283255985,30086.24618852492,btc
2023-06-27,30274.321187966107,31006.78657697437,30236.651293804374,30688.163854246024,btc
2023-06-26,30480.523973068975,30636.029429573337,29955.743293732452,30271.131016739706,btc
2023-06-25,30545.150233460405,31041.272067035912,30327.94278399382,30480.26160573749,btc
2023-06-24,30708.738453966012,30804.14936626635,30290.14647599631,30548.694824738708,btc
2023-06-23,29896.383424039625,31389.538128135737,29845.21450520376,30695.46940748955,btc
2023-06-22,29995.935766599723,30495.998447137208,29679.157402267716,29912.28171476797,btc
2023-06-21,28311.31096035663,30737.329223589204,28283.410778834826,30027.296453500956,btc
2023-06-20,26841.663530099617,28388.968417499313,26668.7916991755,28327.488264328193,btc
2023-06-19,26335.442369620123,26984.611526472378,26312.83180762957,26851.028545521316,btc
2023-06-18,26510.457605282787,26675.925532231984,26325.890181020062,26336.213003281027,btc
2023-06-17,26328.679439009575,26769.39450192045,26174.491649574386,26510.67644688794,btc
2023-06-16,25575.28259536865,26463.173064552917,25245.357683111808,26327.46239421728,btc
2023-06-15,25121.673946191986,25735.308541637325,24797.167848615383,25576.394008263604,btc
2023-06-14,25920.258089139683,26041.800109474858,24902.152701215833,25124.676679840817,btc
2023-06-13,25902.940909862198,26376.35206932344,25728.365567508503,25918.728401268156,btc
2023-06-12,25934.285597359547,26087.919073186164,25675.19759436772,25902.499869783027,btc
2023-06-11,25854.031918451117,26203.43980788956,25668.98560722756,25940.16808034339,btc
2023-06-10,26481.762544708385,26531.04516335344,25501.83624158554,25851.241003169685,btc
2023-06-09,26505.92400824293,26770.289117335557,26339.31522115061,26480.37509359513,btc
2023-06-08,26347.65345388678,26797.51278671825,26246.663756236292,26508.215902156466,btc
2023-06-07,27235.649518401624,27332.180956518452,26146.98886820858,26345.99885126687,btc
2023-06-06,25732.108862845296,27313.820682417092,25434.86713154732,27238.783726217396,btc
2023-06-05,27123.10996380917,27129.98258376833,25445.1675071202,25760.096999536112,btc
2023-06-04,27075.122073387673,27407.018569538297,26968.224140905622,27119.067193126313,btc
2023-06-03,27252.323332614993,27317.051854088637,26958.003739925192,27075.129398442477,btc
2023-06-02,26824.556981119476,27303.861687267836,26574.644421230823,27249.588949088356,btc
2023-06-01,27218.412375564356,27346.105483136533,26671.72115584082,26819.97321970769,btc
2023-05-31,27700.530088711763,27831.67780370857,26866.45394440047,27219.658608110938,btc
2023-05-30,27745.123603261192,28044.75979798264,27588.502765755577,27702.348774779613,btc
2023-05-29,28075.592141166908,28432.038716970947,27563.877211181793,27745.884443552008,btc
2023-05-28,26871.158775260013,28193.44853283095,26802.751730160704,28085.64736074923,btc
2023-05-27,26720.18251355914,26888.88337077603,26621.14140510269,26868.35381843118,btc
2023-05-26,26474.182469275427,26916.669912854042,26343.949157498468,26719.29098461734,btc
2023-05-25,26329.461512587262,26591.519183094402,25890.594475345944,26476.207531973054,btc
2023-05-24,27224.60370246231,27224.60370246231,26106.576623117977,26334.818214436535,btc
2023-05-23,26855.960682040175,27434.684328204352,26816.179718120926,27225.726590634808,btc
2023-05-22,26749.893205403107,27045.73508578749,26549.734792438765,26851.277627891304,btc
