Date,btc,eth,usdt,usdc,xrp,busd,ada,doge
2020-09-01,11829.50132605,457.804357722,1.00278644999175,1.002600207031,0.288494296471,1.00242826488225,0.123849242271,0.003237726927225
2020-09-02,11658.61840145,455.4598489315,1.00522347593,1.0010076054465,0.28610961519525,1.0042734190845,0.11989135208125001,0.0031779549396325005
2020-09-03,10819.493910875,414.14352445825,1.006889906951,1.002516281583,0.26134028037175,1.00687986554775,0.105921602219775,0.0029621715199025004
2020-09-04,10403.509826574998,386.74030437749997,1.0055831947147502,1.003840448694,0.25326224496575,1.00578696004325,0.099131444916275,0.0028520393720075
2020-09-05,10302.5860388025,358.56127211225,1.004361253762,1.0060995844,0.246729300666,1.00257412375575,0.0959188892439,0.0028279801767575
2020-09-06,10214.59557205,341.87568907450003,1.00159146553275,1.0028959980055001,0.23836939404024998,1.00188194344075,0.09125258951330001,0.0027656082247025
2020-09-07,10241.5519298075,347.64750147149994,1.00121442256225,1.0020818920115,0.2394256788715,1.00108161213275,0.09179461643835,0.0027847328825875
2020-09-08,10215.17724538,343.79600659274996,0.9997138015737501,1.0018393635525,0.2388718728625,0.99961076640275,0.0924360762053,0.0027775033594950004
2020-09-09,10186.073272925,345.066106592,1.0019076285994999,1.00249795553025,0.2384548260535,1.0017948948072501,0.0925014246145,0.00276210311877
2020-09-10,10336.8793979,362.00913829474996,1.0019328490585,1.00358267662325,0.24299336912874997,1.0015271129769998,0.09592779969000001,0.00280218170943
2020-09-11,10336.425576625,368.756767765,1.001729954035,1.00266830722025,0.2422890203055,1.001469546832,0.09624158427705,0.0027945191529675003
2020-09-12,10430.8142877,379.28978635475,1.0033459831259999,1.0034200524949999,0.24536034540125,1.0028997151177501,0.09718505923095,0.0028082650971525
2020-09-13,10394.424992575001,374.0973181575,1.0009011839220001,1.00248166675675,0.24540199363525,1.00116682545325,0.096285810300525,0.0027910459090949996
2020-09-14,10518.89784395,371.25585782775,1.0019767323845001,1.0029595396167499,0.24456883481849997,1.00150542727125,0.09585824244687499,0.0027907612273325
2020-09-15,10767.449555275001,371.77708590724995,1.0022691178595,1.00120702413275,0.24568779642425,1.001951476522,0.0953864067675,0.00282338508866
2020-09-16,10894.418900499999,365.00161179675,1.00303090730525,0.9993190872165,0.244889445154,1.002360314049,0.092165654094225,0.00282649874659
2020-09-17,10933.572735925,378.39543053075,1.002513805309,0.9992663768765,0.2513363197875,1.001639513234,0.09286305780355,0.0028192856834650002
2020-09-18,10940.242677524999,385.64278924275,1.00383679534025,1.007365813035,0.25144945598499996,1.00193876878875,0.09238226845075001,0.0027978857333875
2020-09-19,11017.95250195,383.8466160969999,1.0015508149980001,1.000351474581,0.25117662889875003,1.0011048193774998,0.09156054777457501,0.0027940395447825
2020-09-20,10986.121981,377.33579677924996,1.0023588634825,1.0014265475222501,0.24844643203125,1.0031891628212501,0.09042400339010001,0.0027749839068074997
2020-09-21,10691.437663825,356.24805584275,1.00253798036775,1.00238790684425,0.2393861551925,1.00319862129675,0.08464926788055001,0.00270658070344
2020-09-22,10487.22196935,342.42071424025,1.0025431348485,1.0010022578695001,0.23256128734125,1.0023410948109999,0.081275885371525,0.0026391400237149995
2020-09-23,10379.3429876025,332.336703255,1.0009398825,1.0009448825,0.22766956249999998,1.000225,0.0793105,0.0025998825
2020-09-24,10502.8497846175,335.086797675,1.0008270225,1.000764285,0.22714970999999998,1.0001499999999999,0.07974599,0.0025927750000000003
2020-09-25,10702.609278207501,349.5958316975,1.0012576850000001,1.0003407225,0.2373750375,1.00005,0.09007108750000001,0.0026661449999999995
2020-09-26,10721.6445636125,352.9502165425,1.0017677,1.000480855,0.2420666175,1.000025,0.096173105,0.0027114725
2020-09-27,10737.2649929875,356.05422023750003,1.00185103,1.0005243275,0.24185773000000002,1.0008991200000001,0.0984815125,0.002696755
2020-09-28,10783.8767447275,358.5162918475,1.001269905,1.0003421825,0.24361908250000003,1.0001,0.1022043,0.0026851675
2020-09-29,10765.946784885,356.6551587375,1.0011233775,1.0004526175,0.24250910750000002,1.0000499999999999,0.10069992249999998,0.0026731925
2020-09-30,10786.2351036275,358.620776685,1.0009964475,1.00053687,0.24169422499999998,1.00005,0.10014396,0.00265383
2020-10-01,10705.171869405,357.314131115,1.0013142075,1.0006736725,0.2399511425,1.000025,0.09976400499999999,0.0026280525
2020-10-02,10567.5808620775,347.44278892,1.0012093675,1.0007496,0.23538608,1.0001,0.0953049475,0.002591305
2020-10-03,10558.6250295875,347.17874701249997,1.001142915,1.0007598875,0.23375225000000002,1.0001,0.09349702,0.0025988975
2020-10-04,10610.103787265001,349.5895053725,1.0013182925,1.0010589175,0.24077642,1.00015,0.094885635,0.0026280825
2020-10-05,10724.494099392501,352.8968940075,1.00114755,1.0006123675,0.2499469025,1.0000499999999999,0.0972478325,0.00262641
2020-10-06,10681.7954154875,346.94116021499997,1.0006660875000002,1.0006894100000001,0.249327055,1.000025,0.09517919,0.0026063224999999996
2020-10-07,10628.8349363275,339.93704034999996,1.0005049125,0.9997788775,0.2467247775,1.0001,0.09272071,0.0025912124999999996
2020-10-08,10773.350006057499,345.16743958,1.000959655,1.000396715,0.24901892250000002,1.0002,0.0943582225,0.0025927025
2020-10-09,10985.4731129375,358.3048848175,1.0012021450000002,1.00074353,0.25289945,1.0002,0.09895933,0.0026325575
2020-10-10,11213.6639406925,369.9978119625,1.00104025,1.000419435,0.2551082825,1.0001000000000002,0.10461923499999999,0.0026696874999999998
