Date,btc,eth,usdt,usdc,bnb,xrp,busd,ada,doge,matic
2020-01-01,7206.085281792501,130.61657630425,1.00030095099125,1.0041091979974999,13.737233197275001,0.19301198401075,1.0032108527949999,0.0332018038823,0.0020334802271075,0.014497571410174999
2020-01-02,7083.8615867825,129.00129212475,0.9990796227205001,1.0061569380675,13.357664596849999,0.190148395656,1.00476004096875,0.0330451358555,0.0020340092182775,0.014948216463525
2020-01-03,7164.5059507450005,130.65675183625,1.0039219232005,1.00175333928175,13.368032140925,0.1903464108315,1.0009293658182499,0.033461083500325,0.00208037090094,0.014902935328725
2020-01-04,7373.232911935,134.58278992125003,1.0059437351205,1.008487084425,13.760218625049998,0.1935913962515,1.007578614165,0.034335453745675,0.0022312715087724998,0.015129912176475
2020-01-05,7441.7003634075,136.4511755035,1.0085088817224999,1.0099734744150002,14.074176517,0.19575259124225003,1.009168337395,0.034798972965625,0.0023167891713475,0.0149958447955
2020-01-06,7592.7078930825,140.25437886,1.0055057380345,1.0067524126115,14.54596330105,0.20898638286175,1.0051996444155,0.035999099724575004,0.0024558330346075,0.01532435011595
2020-01-07,7969.704430805,143.33666014599999,1.0035356325032498,1.0029706391235,14.919784389925,0.21698166877624997,1.00226819781675,0.037199446277125,0.0024419990383475,0.0153114551507
2020-01-08,8148.82758857,142.46054140475002,1.003074049465,1.0026873218965,14.801342167075001,0.2111946049685,1.00343668754725,0.037013877474049994,0.002364148710925,0.015057857936650001
2020-01-09,7971.516821485,139.44134171925,1.0034234298590001,1.00482869982,14.500992197199999,0.20643514237675,1.005054956241,0.036230353920775,0.0022517250506125,0.014847849805825
2020-01-10,7984.5477020275,140.65463567025,1.00310609880975,1.00488829180625,14.67850235515,0.2078594515105,1.0040801809014999,0.036249034463,0.00229247348098,0.014698808447975
2020-01-11,8111.9323929675,143.7562706255,1.00082731615,1.0021259318045,14.9992557542,0.213243085497,1.00121430109725,0.036945156093,0.0023331780813775,0.014865885576749999
2020-01-12,8108.719551412501,144.43999643075,1.00143137842775,1.00370078673375,15.1525708374,0.213921878086,1.00221889928225,0.0372097230162,0.0023548095574475,0.014936538768425
2020-01-13,8152.863875259999,145.03627387275,1.00345879344025,1.0052921450774999,15.224033896249999,0.21363222898575002,1.0042844352525,0.03734537041925,0.0023681162112400003,0.01525435236345
2020-01-14,8497.2855361675,155.48822161825,1.004367773043,1.005435275755,15.956617277625,0.225356667094,1.0042654796015,0.03947198722315,0.0024206189062625,0.0156599027546
2020-01-15,8794.914706475,165.875147223,1.00393623907825,1.0054643019305,17.187342766249998,0.23407873578449997,1.00471336543525,0.041874588399725,0.0024351755991599998,0.016110330415950003
2020-01-16,8748.706048095,164.37290914124998,1.00118387523225,1.002523878505,17.205997719800003,0.22976929483475,1.00228676435025,0.041819271515975,0.0023585218007799997,0.016092832651675
2020-01-17,8822.42148536,167.77853733350003,1.0013953056729998,1.0029694959877502,17.67468992135,0.23430804430975,1.00190390719425,0.04329954142725,0.0024157215208575,0.017453688274525
2020-01-18,8927.3879035575,172.85779750950002,1.00124394836675,1.0042677715465,17.9558009626,0.24162520659724998,1.00255993632575,0.044654802833925,0.002496899376165,0.018135598204425
2020-01-19,8858.03328199,170.84048179875,1.0046103565475,1.0053712903475,17.619767944750002,0.23944991797625,1.006811169358,0.043501538143875,0.0024621164077275,0.016983709131125
2020-01-20,8667.0848984475,166.36778002075,1.000333686897,0.99991634926275,17.283990193575,0.23260374119275,1.0019358010942498,0.043002278523625,0.0023902852578275,0.016651632795925
2020-01-21,8676.2781799,168.12186756575,1.00075827920275,1.0010936630815,17.69281303045,0.2355771928055,1.0028190236595,0.044954442383599996,0.0023721516254025,0.017043053612799997
2020-01-22,8713.7070248175,168.9214071625,1.0006881726265,1.002491912151,17.968772418775,0.236560825778,1.0031715757600002,0.045810026333,0.0023546832442975,0.017065338907125
2020-01-23,8527.1378973475,164.95795629225,1.00014224043375,1.00060282805175,17.35931145595,0.2304075307,1.0029349020325,0.044259568661825004,0.002296741796135,0.0164848083942
2020-01-24,8408.1274070375,161.752436853,1.000101207998,1.00069136186575,16.99086281005,0.22273628290625003,1.00237791885925,0.043768609772274994,0.002262004410125,0.016018446161175
2020-01-25,8390.6598456075,161.55273252749998,1.0019986244257502,1.002119929754,16.934444486,0.22109083976,1.0037661758624998,0.0441178859449,0.0022612237788475,0.016130595398025
2020-01-26,8472.284807900001,164.4388418425,1.0020366943532502,1.00666203147875,17.195068542450002,0.22542546327975,1.00298097251375,0.043863982050625,0.0022770737126675,0.016284487294225
2020-01-27,8770.540924462499,169.69093974425,1.000956696052,1.01562038549,17.577359814999998,0.230842383381,1.0020777901020002,0.046391644150300004,0.0023418899823575,0.016796875146774998
2020-01-28,9134.537975595,173.59089214149998,1.00052013699575,1.01878569483,17.85343858105,0.2351426774405,1.00133809848275,0.05062654955635,0.002406772696865,0.017016515774525003
2020-01-29,9337.4999538175,176.3228830215,1.00081661014125,1.0229664582475,18.0741018501,0.23775234507025,1.001360498551,0.054065685825325,0.0024253195862675,0.0170961065341
2020-01-30,9402.2584961225,179.56082627775,1.0033037352495,1.035677502555,18.2361043373,0.2393017856415,1.004410220695,0.054696645120825005,0.0024121249902,0.0178381382903
2020-01-31,9402.831153375,181.64993422049997,1.0017995739485,1.03492559958,18.374199683675002,0.24050693598375,1.0029356727204999,0.0546659469109,0.0024151163165525,0.018290493554
2020-02-01,9372.948779605,181.84461460025,1.0008672831855001,1.0287813960825,18.264568675474997,0.24025966059325,1.0018357477895,0.055089120667424996,0.0024065027628874997,0.01811549490435
